店舗,商品名,価格,キャッチコピー,説明,写真,価格表,札,イベント,テンプレート,投稿予定日,投稿済み,停止
バグる,デミソースハンバーグ,,とろけるデミグラス,炭火で焼き上げたハンバーグに、デミグラスソースをたっぷり,デミソースハンバーグ①.jpg／デミソースハンバーグ②.jpg／デミソースハンバーグ③.jpg／デミソースハンバーグ④.jpg,1枚=1450／2枚=1850／3枚=2250,,,,,,
バグる,チーズかけハンバーグ,,チーズがとろける,炭火で焼き上げたハンバーグに、チーズをたっぷり,チーズかけハンバーグ.jpg,1枚=1450／2枚=1850／3枚=2250,,,,,,
バグる,鉄板炭焼ハンバーグ,,熱々の鉄板で,炭火の香りをそのまま、熱い鉄板でお出しします,鉄板炭焼ハンバーグ①.jpg／鉄板炭焼ハンバーグ②.jpg／鉄板炭焼ハンバーグ③.jpg／鉄板炭焼ハンバーグ④.jpg／鉄板炭焼ハンバーグ⑤.jpg／鉄板炭焼ハンバーグ⑥.jpg,1枚=1350／2枚=1750／3枚=2150,,,,,,
バグる,超粗びきハンバーグ,,人気NO.1,肉のかたまりを感じる、粗びきのハンバーグ,超粗びきハンバーグ①.jpg／超粗びきハンバーグ②.jpg／超粗びきハンバーグ③.jpg／超粗びきハンバーグ④.jpg／超粗びきハンバーグ⑤.jpg／超粗びきハンバーグ⑥.jpg／超粗びきハンバーグ⑦.jpg／超粗びきハンバーグ⑧.jpg,2個=1150／3個=1550／4個=1880／5個=2150,,肉の日,,,,
バグる,アサイーボウル,,5種類からえらべます,プレーン・バナナ・ベリーベリー・トロピカル・ベリーベリーバナナ,アサイーボウル_宣材写真.jpg,"ミニ=¥780〜／レギュラー=¥1,280〜",,,,,,
バグる,アサイーボウル プレーン,,ひんやり、すっきり,お好きなフルーツでどうぞ,アサイーボウル_プレーン.jpg,ミニ=780／レギュラー=1280,,,,,,
バグる,アサイーボウル プレーン,,テイクアウトできます,そのままお持ち帰りいただけます,TO_アサイーボウル_プレーン.jpg,ミニ=780／レギュラー=1280,テイクアウト,,,,,
バグる,アサイーボウル バナナ,,ひんやり、すっきり,お好きなフルーツでどうぞ,アサイーボウル_バナナ.jpg,ミニ=880／レギュラー=1480,,,,,,
バグる,アサイーボウル バナナ,,テイクアウトできます,そのままお持ち帰りいただけます,TO_アサイーボウル_バナナ.jpg,ミニ=880／レギュラー=1480,テイクアウト,,,,,
バグる,アサイーボウル ベリーベリー,,ひんやり、すっきり,お好きなフルーツでどうぞ,アサイーボウル_ベリーベリー.jpg,ミニ=980／レギュラー=1580,,,,,,
バグる,アサイーボウル ベリーベリー,,テイクアウトできます,そのままお持ち帰りいただけます,TO_アサイーボウル_ベリーベリー.jpg,ミニ=980／レギュラー=1580,テイクアウト,,,,,
バグる,アサイーボウル トロピカル,,ひんやり、すっきり,お好きなフルーツでどうぞ,アサイーボウル_トロピカル.jpg,ミニ=980／レギュラー=1580,,,,,,
バグる,アサイーボウル トロピカル,,テイクアウトできます,そのままお持ち帰りいただけます,TO_アサイーボウル_トロピカル.jpg,ミニ=980／レギュラー=1580,テイクアウト,,,,,
バグる,アサイーボウル ベリーベリーバナナ,,ひんやり、すっきり,お好きなフルーツでどうぞ,アサイーボウル_ベリーベリーバナナ.jpg,ミニ=1080／レギュラー=1680,,,,,,
バグる,アサイーボウル ベリーベリーバナナ,,テイクアウトできます,そのままお持ち帰りいただけます,TO_アサイーボウルベリーベリーバナナ.jpg,ミニ=1080／レギュラー=1680,テイクアウト,,,,,
バグる,炭焼ハンバーグランチ,,平日ランチ,ライス・スープ付き,炭焼ハンバーグランチ①.jpg／炭焼ハンバーグランチ②.jpg,シングル=1050／ダブル=1450／トリプル=1850,,,,,,
バグる,タコライスプレート,,平日ランチ,スパイスの効いたミートたっぷり,タコライスプレート①.jpg／タコライスプレート②.jpg,タコライス=1170／ミート1.5倍=+320／ミート2倍=+520,,,,,,
バグる,レトロぷりん,520,食後にひとつ,どこかなつかしい、かための焼きぷりん,レトロぷりん①.jpg／レトロぷりん②.jpg／レトロぷりん③.jpg／レトロぷりん⑤.jpg／レトロぷりん⑥.jpg,,,,,,,
バグる,ガトーショコラ,,食後にひとつ,,ガトーショコラ.jpg,,,,,,,
バグる,ローストチキン,,季節のおすすめ,,ローストチキン.jpg,,,,,,,
